"title","authors","matched_title","matched_author","submitted","updated","score","num_reviews","id","arx_id","arx_id_match","match_type"
"Learning to Count Objects in Natural Images for Visual Question Answering","[""Yan Zhang"", ""Jonathon Hare"", ""Adam Pr\u00fcgel-Bennett""]","Learning to Count Objects in Natural Images for Visual Question Answering","Yan Zhang|Jonathon Hare|Adam Prügel-Bennett","2018-02-15 21:16:59","2018-02-15 21:16:59",5.33333333333333,3,"B12Js_yRb",NA,"1802.05766v1","automatic"
"Thinking like a machine — generating visual rationales through latent space optimization","[""Jarrel Seah"", ""Jennifer Tang"", ""Andy Kitchen"", ""Jonathan Seah""]",NA,NA,NA,NA,6.33333333333333,3,"B13EC5u6W",NA,NA,"automatic"
"Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control","[""Glen Berseth"", ""Cheng Xie"", ""Paul Cernek"", ""Michiel Van de Panne""]","Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control","Glen Berseth|Cheng Xie|Paul Cernek|Michiel Van de Panne","2018-02-13 17:57:21","2018-02-13 17:57:21",6.33333333333333,3,"B13njo1R-",NA,"1802.04765v1","automatic"
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension","[""Adams Wei Yu"", ""David Dohan"", ""Minh-Thang Luong"", ""Rui Zhao"", ""Kai Chen"", ""Mohammad Norouzi"", ""Quoc V. Le""]","QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension","Adams Wei Yu|David Dohan|Minh-Thang Luong|Rui Zhao|Kai Chen|Mohammad Norouzi|Quoc V. Le","2018-04-23 11:33:43","2018-04-23 11:33:43",6.33333333333333,3,"B14TlG-RW",NA,"1804.09541v1","automatic"
"No Spurious Local Minima in a Two Hidden Unit ReLU Network","[""Chenwei Wu"", ""Jiajun Luo"", ""Jason D. Lee""]",NA,NA,NA,NA,5.33333333333333,3,"B14uJzW0b",NA,NA,"automatic"
"Deep Boosting of Diverse Experts","[""Wei Zhang"", ""Qiuyu Chen"", ""Jun Yu"", ""Jianping Fan""]",NA,NA,NA,NA,4.33333333333333,3,"B16_iGWCW",NA,NA,"automatic"
"Avoiding Catastrophic States with Intrinsic Fear","[""Zachary C. Lipton"", ""Kamyar Azizzadenesheli"", ""Abhishek Kumar"", ""Lihong Li"", ""Jianfeng Gao"", ""Li Deng""]",NA,NA,NA,NA,5.66666666666667,3,"B16yEqkCZ",NA,NA,"automatic"
"Emergence of grid-like representations by training recurrent neural networks to perform spatial localization","[""Christopher J. Cueva"", ""Xue-Xin Wei""]","Emergence of grid-like representations by training recurrent neural networks to perform spatial localization","Christopher J. Cueva|Xue-Xin Wei","2018-03-21 07:09:57","2018-03-21 07:09:57",8.33333333333333,3,"B17JTOe0-",NA,"1803.07770v1","automatic"
"Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning","[""Sandeep Subramanian"", ""Adam Trischler"", ""Yoshua Bengio"", ""Christopher J Pal""]","Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning","Sandeep Subramanian|Adam Trischler|Yoshua Bengio|Christopher J Pal","2018-03-30 23:05:15","2018-03-30 23:05:15",6.66666666666667,3,"B18WgG-CZ",NA,"1804.00079v1","automatic"
"Learning to Compute Word Embeddings On the Fly","[""Dzmitry Bahdanau"", ""Tom Bosc"", ""Stanis\u0142aw Jastrz\u0119bski"", ""Edward Grefenstette"", ""Pascal Vincent"", ""Yoshua Bengio""]","Learning to Compute Word Embeddings On the Fly","Dzmitry Bahdanau|Tom Bosc|Stanisław Jastrzębski|Edward Grefenstette|Pascal Vincent|Yoshua Bengio","2017-06-01 13:12:15","2018-03-07 16:07:10",5.66666666666667,3,"B1CNpYg0-",NA,"1706.00286v3","automatic"
"Learning to select examples for program synthesis","[""Yewen Pu"", ""Zachery Miranda"", ""Armando Solar-Lezama"", ""Leslie Pack Kaelbling""]",NA,NA,NA,NA,4.66666666666667,3,"B1CQGfZ0b",NA,NA,"automatic"
"Training Autoencoders by Alternating Minimization","[""Sneha Kudugunta"", ""Adepu Shankar"", ""Surya Chavali"", ""Vineeth Balasubramanian"", ""Purushottam Kar""]",NA,NA,NA,NA,5.66666666666667,3,"B1D6ty-A-",NA,NA,"automatic"
"A Simple Neural Attentive Meta-Learner","[""Nikhil Mishra"", ""Mostafa Rohaninejad"", ""Xi Chen"", ""Pieter Abbeel""]","A Simple Neural Attentive Meta-Learner","Nikhil Mishra|Mostafa Rohaninejad|Xi Chen|Pieter Abbeel","2017-07-11 06:21:31","2018-02-25 04:55:20",6.33333333333333,3,"B1DmUzWAW",NA,"1707.03141v3","automatic"
"Deep Neural Networks as Gaussian Processes","[""Jaehoon Lee"", ""Yasaman Bahri"", ""Roman Novak"", ""Samuel S. Schoenholz"", ""Jeffrey Pennington"", ""Jascha Sohl-Dickstein""]","Deep Neural Networks as Gaussian Processes","Jaehoon Lee|Yasaman Bahri|Roman Novak|Samuel S. Schoenholz|Jeffrey Pennington|Jascha Sohl-Dickstein","2017-11-01 02:13:25","2018-03-03 00:45:00",5.66666666666667,3,"B1EA-M-0Z",NA,"1711.00165v3","automatic"
"Autonomous Vehicle Fleet Coordination With Deep Reinforcement Learning","[""Cane Punma""]",NA,NA,NA,NA,3.33333333333333,3,"B1EGg7ZCb",NA,NA,"automatic"
"Federated Learning: Strategies for Improving Communication Efficiency","[""Jakub Kone\u010dn\u00fd"", ""H. Brendan McMahan"", ""Felix X. Yu"", ""Ananda Theertha Suresh"", ""Dave Bacon"", ""Peter Richt\u00e1rik""]","Federated Learning: Strategies for Improving Communication Efficiency","Jakub Konečný|H. Brendan McMahan|Felix X. Yu|Peter Richtárik|Ananda Theertha Suresh|Dave Bacon","2016-10-18 09:11:51","2017-10-30 20:52:14",5.66666666666667,3,"B1EPYJ-C-",NA,"1610.05492v2","automatic"
"Make SVM great again with Siamese kernel for  few-shot learning","[""Bence Tilk""]",NA,NA,NA,NA,4,3,"B1EVwkqTW",NA,NA,"automatic"
